wavelength,y_bar
360,1.3398e-08
361,2.0294e-08
362,3.056e-08
363,4.574e-08
364,6.805e-08
365,1.0065e-07
366,1.4798e-07
367,2.1627e-07
368,3.142e-07
369,4.537e-07
370,6.511e-07
371,9.288e-07
372,1.3175e-06
373,1.8572e-06
374,2.602e-06
375,3.625e-06
376,5.019e-06
377,6.907e-06
378,9.449e-06
379,1.2848e-05
380,1.7364e-05
381,2.3327e-05
382,3.115e-05
383,4.135e-05
384,5.456e-05
385,7.156e-05
386,9.33e-05
387,0.00012087
388,0.00015564
389,0.0001992
390,0.0002534
391,0.0003202
392,0.0004024
393,0.0005023
394,0.0006232
395,0.0007685
396,0.0009417
397,0.0011478
398,0.0013903
399,0.001674
400,0.0020044
401,0.002386
402,0.002822
403,0.003319
404,0.00388
405,0.004509
406,0.005209
407,0.005985
408,0.006833
409,0.007757
410,0.008756
411,0.009816
412,0.010918
413,0.012058
414,0.013237
415,0.014456
416,0.015717
417,0.017025
418,0.018399
419,0.019848
420,0.021391
421,0.022992
422,0.024598
423,0.026213
424,0.027841
425,0.029497
426,0.031195
427,0.032927
428,0.034738
429,0.036654
430,0.038676
431,0.040792
432,0.042946
433,0.045114
434,0.047333
435,0.049602
436,0.051934
437,0.054337
438,0.056822
439,0.059399
440,0.062077
441,0.064737
442,0.067285
443,0.069764
444,0.072218
445,0.074704
446,0.077272
447,0.079979
448,0.082874
449,0.086
450,0.089456
451,0.092947
452,0.096275
453,0.099535
454,0.102829
455,0.106256
456,0.109901
457,0.113835
458,0.118167
459,0.122932
460,0.128201
461,0.133457
462,0.138323
463,0.143042
464,0.147787
465,0.152761
466,0.158102
467,0.163941
468,0.170362
469,0.177425
470,0.18519
471,0.193025
472,0.200313
473,0.207156
474,0.213644
475,0.21994
476,0.22617
477,0.232467
478,0.239025
479,0.245997
480,0.253589
481,0.261876
482,0.270643
483,0.279645
484,0.288694
485,0.297665
486,0.306469
487,0.315035
488,0.323335
489,0.331366
490,0.339133
491,0.34786
492,0.358326
493,0.370001
494,0.382464
495,0.395379
496,0.408482
497,0.421588
498,0.434619
499,0.447601
500,0.460777
501,0.47434
502,0.4882
503,0.50234
504,0.51674
505,0.53136
506,0.54619
507,0.56118
508,0.57629
509,0.5915
510,0.606741
511,0.62215
512,0.63783
513,0.65371
514,0.66968
515,0.68566
516,0.70155
517,0.71723
518,0.73257
519,0.74746
520,0.761757
521,0.77534
522,0.78822
523,0.80046
524,0.81214
525,0.82333
526,0.83412
527,0.8446
528,0.85487
529,0.86504
530,0.875211
531,0.88537
532,0.89537
533,0.90515
534,0.91465
535,0.92381
536,0.93255
537,0.94081
538,0.94852
539,0.9556
540,0.961988
541,0.96754
542,0.97223
543,0.97617
544,0.97946
545,0.9822
546,0.98452
547,0.98652
548,0.98832
549,0.99002
550,0.991761
551,0.99353
552,0.99523
553,0.99677
554,0.99809
555,0.99911
556,0.99977
557,1
558,0.99971
559,0.99885
560,0.99734
561,0.99526
562,0.99274
563,0.98975
564,0.9863
565,0.98238
566,0.97798
567,0.97311
568,0.96774
569,0.96189
570,0.955552
571,0.948601
572,0.940981
573,0.932798
574,0.924158
575,0.915175
576,0.905954
577,0.896608
578,0.887249
579,0.877986
580,0.868934
581,0.860164
582,0.851519
583,0.842963
584,0.834393
585,0.825623
586,0.816764
587,0.807544
588,0.797947
589,0.787893
590,0.777405
591,0.76649
592,0.755309
593,0.743845
594,0.73219
595,0.720353
596,0.708281
597,0.696055
598,0.683621
599,0.671048
600,0.658341
601,0.645545
602,0.632718
603,0.619815
604,0.606887
605,0.593878
606,0.580781
607,0.567653
608,0.55449
609,0.541228
610,0.527963
611,0.514634
612,0.501363
613,0.488124
614,0.474935
615,0.461834
616,0.448823
617,0.435917
618,0.423153
619,0.410526
620,0.398057
621,0.385835
622,0.373951
623,0.362311
624,0.350863
625,0.339554
626,0.328309
627,0.317118
628,0.305936
629,0.294737
630,0.283493
631,0.272222
632,0.26099
633,0.249877
634,0.238946
635,0.228254
636,0.217853
637,0.20778
638,0.198072
639,0.188748
640,0.179828
641,0.171285
642,0.163059
643,0.155151
644,0.147535
645,0.140211
646,0.13317
647,0.1264
648,0.119892
649,0.11364
650,0.107633
651,0.10187
652,0.096347
653,0.091063
654,0.08601
655,0.081187
656,0.076583
657,0.072198
658,0.068024
659,0.064052
660,0.060281
661,0.056697
662,0.053292
663,0.050059
664,0.046998
665,0.044096
666,0.041345
667,0.0387507
668,0.0362978
669,0.0339832
670,0.0318004
671,0.0297395
672,0.0277918
673,0.0259551
674,0.0242263
675,0.0226017
676,0.0210779
677,0.0196505
678,0.0183153
679,0.0170686
680,0.0159051
681,0.0148183
682,0.0138008
683,0.0128495
684,0.0119607
685,0.0111303
686,0.0103555
687,0.0096332
688,0.0089599
689,0.0083324
690,0.0077488
691,0.0072046
692,0.0066975
693,0.0062251
694,0.005785
695,0.0053751
696,0.0049941
697,0.0046392
698,0.0043093
699,0.0040028
700,0.00371774
701,0.00345262
702,0.00320583
703,0.00297623
704,0.00276281
705,0.00256456
706,0.00238048
707,0.00220971
708,0.00205132
709,0.00190449
710,0.00176847
711,0.00164236
712,0.00152535
713,0.00141672
714,0.00131595
715,0.00122239
716,0.00113555
717,0.00105494
718,0.00098014
719,0.00091066
720,0.00084619
721,0.00078629
722,0.00073068
723,0.00067899
724,0.00063101
725,0.00058644
726,0.00054511
727,0.00050672
728,0.00047111
729,0.00043805
730,0.00040741
731,0.000378962
732,0.000352543
733,0.000328001
734,0.000305208
735,0.000284041
736,0.000264375
737,0.000246109
738,0.000229143
739,0.000213376
740,0.00019873
741,0.000185115
742,0.000172454
743,0.000160678
744,0.00014973
745,0.00013955
746,0.000130086
747,0.00012129
748,0.000113106
749,0.000105501
750,9.8428e-05
751,9.1853e-05
752,8.5738e-05
753,8.0048e-05
754,7.4751e-05
755,6.9819e-05
756,6.5222e-05
757,6.0939e-05
758,5.6942e-05
759,5.3217e-05
760,4.9737e-05
761,4.6491e-05
762,4.3464e-05
763,4.0635e-05
764,3.8e-05
765,3.55405e-05
766,3.32448e-05
767,3.11006e-05
768,2.9099e-05
769,2.72307e-05
770,2.5486e-05
771,2.38561e-05
772,2.23332e-05
773,2.09104e-05
774,1.95808e-05
775,1.83384e-05
776,1.71777e-05
777,1.60934e-05
778,1.508e-05
779,1.41336e-05
780,1.3249e-05
781,1.24226e-05
782,1.16499e-05
783,1.09277e-05
784,1.02519e-05
785,9.6196e-06
786,9.0281e-06
787,8.474e-06
788,7.9548e-06
789,7.4686e-06
790,7.0128e-06
791,6.5858e-06
792,6.1857e-06
793,5.8107e-06
794,5.459e-06
795,5.1298e-06
796,4.8206e-06
797,4.5312e-06
798,4.2591e-06
799,4.0042e-06
800,3.76473e-06
801,3.53995e-06
802,3.32914e-06
803,3.13115e-06
804,2.94529e-06
805,2.77081e-06
806,2.60705e-06
807,2.45329e-06
808,2.30894e-06
809,2.17338e-06
810,2.04613e-06
811,1.92662e-06
812,1.8144e-06
813,1.70895e-06
814,1.60988e-06
815,1.51677e-06
816,1.42921e-06
817,1.34686e-06
818,1.26945e-06
819,1.19662e-06
820,1.12809e-06
821,1.06368e-06
822,1.00313e-06
823,9.4622e-07
824,8.9263e-07
825,8.4216e-07
826,7.9464e-07
827,7.4978e-07
828,7.0744e-07
829,6.6748e-07
830,6.297e-07
