wavelength,x_bar
390,0.00376965
391,0.00453242
392,0.00544655
393,0.00653887
394,0.0078397
395,0.00938297
396,0.0112061
397,0.0133496
398,0.0158569
399,0.0187729
400,0.022143
401,0.0260128
402,0.0304304
403,0.0354433
404,0.0410964
405,0.0474299
406,0.0544739
407,0.0622361
408,0.0707005
409,0.0798251
410,0.089538
411,0.0997485
412,0.110402
413,0.121457
414,0.132874
415,0.144621
416,0.156647
417,0.16879
418,0.180833
419,0.192522
420,0.203573
421,0.213753
422,0.223135
423,0.231925
424,0.240389
425,0.248852
426,0.25759
427,0.266499
428,0.275353
429,0.283892
430,0.291825
431,0.29892
432,0.305299
433,0.311203
434,0.316905
435,0.322709
436,0.328819
437,0.334924
438,0.340545
439,0.345169
440,0.348255
441,0.349415
442,0.348908
443,0.347175
444,0.34467
445,0.341848
446,0.339024
447,0.335993
448,0.332428
449,0.328016
450,0.322464
451,0.315622
452,0.30782
453,0.299477
454,0.290978
455,0.282665
456,0.274796
457,0.267431
458,0.260585
459,0.254275
460,0.248525
461,0.243304
462,0.238341
463,0.233325
464,0.227962
465,0.221978
466,0.215174
467,0.207562
468,0.199218
469,0.190229
470,0.180691
471,0.170715
472,0.160447
473,0.150024
474,0.13957
475,0.129192
476,0.118986
477,0.109061
478,0.0995142
479,0.0904185
480,0.0818289
481,0.0737682
482,0.0661948
483,0.0590638
484,0.0523424
485,0.0460086
486,0.0400615
487,0.0345437
488,0.0294909
489,0.0249214
490,0.0208398
491,0.0172359
492,0.0140792
493,0.0113452
494,0.00901966
495,0.00709773
496,0.00557114
497,0.00439457
498,0.0035163
499,0.00288764
500,0.00246159
501,0.00220635
502,0.00214956
503,0.00233709
504,0.00281893
505,0.00364918
506,0.00489136
507,0.00662936
508,0.0089429
509,0.0119022
510,0.0155699
511,0.0199767
512,0.025047
513,0.0306753
514,0.03675
515,0.0431517
516,0.0497858
517,0.0566855
518,0.0639165
519,0.0715435
520,0.0796292
521,0.0882147
522,0.0972698
523,0.10675
524,0.116619
525,0.126847
526,0.137406
527,0.148247
528,0.159308
529,0.170518
530,0.181803
531,0.193109
532,0.204508
533,0.216117
534,0.228065
535,0.240502
536,0.253544
537,0.26713
538,0.281135
539,0.295416
540,0.309812
541,0.324168
542,0.338432
543,0.352579
544,0.366584
545,0.380424
546,0.394099
547,0.407697
548,0.421348
549,0.4352
550,0.449421
551,0.464162
552,0.47944
553,0.495218
554,0.51144
555,0.528023
556,0.54487
557,0.56189
558,0.579014
559,0.596188
560,0.613378
561,0.63059
562,0.647922
563,0.665487
564,0.683378
565,0.701677
566,0.720411
567,0.73945
568,0.758629
569,0.777788
570,0.796775
571,0.815453
572,0.833739
573,0.851549
574,0.868786
575,0.885338
576,0.901159
577,0.916528
578,0.931824
579,0.947452
580,0.963839
581,0.98126
582,0.999295
583,1.01734
584,1.03479
585,1.05101
586,1.06552
587,1.07842
588,1.08994
589,1.10032
590,1.10977
591,1.11844
592,1.12627
593,1.13314
594,1.13895
595,1.14362
596,1.14709
597,1.14946
598,1.15084
599,1.15133
600,1.15103
601,1.15
602,1.14806
603,1.145
604,1.14062
605,1.13476
606,1.1273
607,1.11834
608,1.10803
609,1.09652
610,1.08393
611,1.07039
612,1.05593
613,1.04059
614,1.02439
615,1.00734
616,0.989527
617,0.971121
618,0.952326
619,0.933325
620,0.914288
621,0.89528
622,0.876016
623,0.856161
624,0.835424
625,0.813557
626,0.790457
627,0.766436
628,0.741878
629,0.717122
630,0.692472
631,0.66816
632,0.64427
633,0.620845
634,0.597924
635,0.575541
636,0.55373
637,0.532541
638,0.512022
639,0.492207
640,0.473122
641,0.454742
642,0.436872
643,0.419312
644,0.401898
645,0.384499
646,0.367059
647,0.349717
648,0.33263
649,0.315934
650,0.299737
651,0.284119
652,0.269105
653,0.254708
654,0.240932
655,0.227779
656,0.215243
657,0.203301
658,0.191928
659,0.181099
660,0.170791
661,0.160984
662,0.151658
663,0.142794
664,0.134374
665,0.126381
666,0.118798
667,0.111609
668,0.104798
669,0.0983484
670,0.092246
671,0.0864751
672,0.0810199
673,0.0758651
674,0.0709963
675,0.0663996
676,0.0620622
677,0.0579741
678,0.0541253
679,0.050506
680,0.0471061
681,0.0439141
682,0.0409141
683,0.0380907
684,0.0354303
685,0.0329214
686,0.0305567
687,0.0283415
688,0.0262803
689,0.0243747
690,0.0226231
691,0.0210193
692,0.0195465
693,0.0181873
694,0.0169273
695,0.0157542
696,0.0146585
697,0.0136357
698,0.0126821
699,0.0117939
700,0.0109678
701,0.0101996
702,0.00948432
703,0.00881685
704,0.00819292
705,0.00760875
706,0.00706139
707,0.00654951
708,0.00607197
709,0.00562748
710,0.00521461
711,0.00483185
712,0.00447758
713,0.00415017
714,0.00384799
715,0.00356945
716,0.00331286
717,0.00307602
718,0.00285689
719,0.00265368
720,0.00246482
721,0.00228906
722,0.00212569
723,0.00197412
724,0.00183372
725,0.00170388
726,0.0015839
727,0.00147294
728,0.00137015
729,0.0012748
730,0.00118624
731,0.00110387
732,0.00102719
733,0.000955749
734,0.000889126
735,0.000826954
736,0.000768935
737,0.000714943
738,0.000664859
739,0.000618542
740,0.00057583
741,0.000536505
742,0.000500184
743,0.000466501
744,0.000435139
745,0.00040583
746,0.000378373
747,0.000352689
748,0.00032872
749,0.0003064
750,0.000285658
751,0.000266411
752,0.000248546
753,0.000231953
754,0.00021653
755,0.000202185
756,0.000188834
757,0.000176394
758,0.000164789
759,0.000153954
760,0.000143827
761,0.000134357
762,0.000125514
763,0.000117271
764,0.000109598
765,0.000102469
766,9.58472e-05
767,8.96832e-05
768,8.39273e-05
769,7.85371e-05
770,7.34755e-05
771,6.87158e-05
772,6.42526e-05
773,6.00829e-05
774,5.6201e-05
775,5.25987e-05
776,4.92628e-05
777,4.61662e-05
778,4.32821e-05
779,4.05871e-05
780,3.80611e-05
781,3.56882e-05
782,3.34602e-05
783,3.13709e-05
784,2.94137e-05
785,2.75822e-05
786,2.58695e-05
787,2.4267e-05
788,2.27664e-05
789,2.13601e-05
790,2.00412e-05
791,1.88038e-05
792,1.76436e-05
793,1.65567e-05
794,1.55394e-05
795,1.45879e-05
796,1.36985e-05
797,1.28671e-05
798,1.20895e-05
799,1.13621e-05
800,1.06814e-05
801,1.00441e-05
802,9.4464e-06
803,8.88475e-06
804,8.35605e-06
805,7.85752e-06
806,7.387e-06
807,6.94358e-06
808,6.52655e-06
809,6.13509e-06
810,5.76828e-06
811,5.42507e-06
812,5.10397e-06
813,4.80352e-06
814,4.52235e-06
815,4.25917e-06
816,4.01271e-06
817,3.7816e-06
818,3.5645e-06
819,3.36024e-06
820,3.16777e-06
821,2.98621e-06
822,2.815e-06
823,2.65366e-06
824,2.50173e-06
825,2.35872e-06
826,2.22421e-06
827,2.09774e-06
828,1.97889e-06
829,1.86727e-06
830,1.76246e-06
