wavelength,b_bar
390,0.0062
395,0.0161
400,0.04
405,0.0906
410,0.1802
415,0.3088
420,0.467
425,0.6152
430,0.7638
435,0.8778
440,0.9755
445,1.0019
450,0.9996
455,0.9139
460,0.8297
465,0.7417
470,0.6134
475,0.472
480,0.3495
485,0.2564
490,0.1819
495,0.1307
500,0.091
505,0.058
510,0.0357
515,0.02
520,0.0095
525,0.0007
530,-0.0043
535,-0.0064
540,-0.0082
545,-0.0094
550,-0.0097
555,-0.0097
560,-0.0093
565,-0.0087
570,-0.008
575,-0.0073
580,-0.0063
585,-0.00537
590,-0.00445
595,-0.00357
600,-0.00277
605,-0.00208
610,-0.0015
615,-0.00103
620,-0.00068
625,-0.000442
630,-0.000272
635,-0.000141
640,-5.49e-05
645,-2.2e-06
650,2.37e-05
655,2.86e-05
660,2.61e-05
665,2.25e-05
670,1.82e-05
675,1.39e-05
680,1.03e-05
685,7.38e-06
690,5.22e-06
695,3.67e-06
700,2.56e-06
705,1.76e-06
710,1.2e-06
715,8.17e-07
720,5.55e-07
725,3.75e-07
730,2.54e-07
735,1.71e-07
740,1.16e-07
745,7.85e-08
750,5.31e-08
755,3.6e-08
760,2.44e-08
765,1.65e-08
770,1.12e-08
775,7.53e-09
780,5.07e-09
785,3.4e-09
790,2.27e-09
795,1.5e-09
800,9.86e-10
805,6.39e-10
810,4.07e-10
815,2.53e-10
820,1.52e-10
825,8.64e-11
830,4.42e-11
