wavelength,m_bar
390,0.000358227
391,0.00043866
392,0.00053623
393,0.000654061
394,0.000795649
395,0.000964828
396,0.00116572
397,0.00140263
398,0.00167992
399,0.0020018
400,0.00237208
401,0.00279433
402,0.00327374
403,0.0038166
404,0.00443021
405,0.00512316
406,0.00590458
407,0.00678005
408,0.0077526
409,0.00882286
410,0.00998841
411,0.0112452
412,0.0125949
413,0.0140425
414,0.0155944
415,0.0172596
416,0.0190467
417,0.0209545
418,0.0229763
419,0.0251017
420,0.0273163
421,0.0296062
422,0.0319746
423,0.034433
424,0.0369983
425,0.0396928
426,0.0425402
427,0.0455474
428,0.0487161
429,0.0520467
430,0.0555384
431,0.0591876
432,0.0629819
433,0.0669031
434,0.0709285
435,0.0750299
436,0.0791769
437,0.0833463
438,0.087516
439,0.0916625
440,0.0957612
441,0.0997977
442,0.103804
443,0.107834
444,0.111948
445,0.11622
446,0.120706
447,0.125363
448,0.130111
449,0.134856
450,0.139493
451,0.143943
452,0.148281
453,0.152637
454,0.157157
455,0.162006
456,0.167331
457,0.173144
458,0.179417
459,0.186117
460,0.193202
461,0.200621
462,0.208315
463,0.216212
464,0.224231
465,0.232275
466,0.240257
467,0.24816
468,0.255987
469,0.263744
470,0.271441
471,0.279097
472,0.286755
473,0.294476
474,0.302323
475,0.310372
476,0.318692
477,0.327307
478,0.336232
479,0.34548
480,0.355066
481,0.364985
482,0.375142
483,0.38541
484,0.395646
485,0.405688
486,0.415435
487,0.425064
488,0.434851
489,0.445097
490,0.456137
491,0.468236
492,0.481255
493,0.494927
494,0.508947
495,0.52297
496,0.536701
497,0.550195
498,0.563616
499,0.57715
500,0.591003
501,0.60535
502,0.62016
503,0.635343
504,0.650796
505,0.666404
506,0.682055
507,0.697672
508,0.713186
509,0.728526
510,0.743612
511,0.758396
512,0.772966
513,0.787457
514,0.802017
515,0.816808
516,0.831919
517,0.847096
518,0.861972
519,0.876152
520,0.889214
521,0.900812
522,0.911006
523,0.919968
524,0.92789
525,0.934977
526,0.941414
527,0.947279
528,0.952622
529,0.957498
530,0.961962
531,0.96608
532,0.969966
533,0.973743
534,0.977539
535,0.981481
536,0.985629
537,0.989754
538,0.993551
539,0.996714
540,0.998931
541,0.999942
542,0.999692
543,0.998178
544,0.995405
545,0.991383
546,0.986199
547,0.980229
548,0.973906
549,0.967653
550,0.961876
551,0.95682
552,0.952151
553,0.947398
554,0.942105
555,0.935829
556,0.928274
557,0.919667
558,0.910356
559,0.900677
560,0.890949
561,0.881386
562,0.871834
563,0.862059
564,0.85184
565,0.840969
566,0.829303
567,0.816911
568,0.80391
569,0.790413
570,0.776526
571,0.762311
572,0.747669
573,0.732476
574,0.716622
575,0.700013
576,0.682647
577,0.664817
578,0.646858
579,0.629072
580,0.611728
581,0.594998
582,0.578783
583,0.562935
584,0.547321
585,0.531825
586,0.516354
587,0.50087
588,0.48535
589,0.469777
590,0.454142
591,0.438454
592,0.422778
593,0.407188
594,0.391752
595,0.376527
596,0.361559
597,0.346856
598,0.332422
599,0.318261
600,0.304378
601,0.290784
602,0.277506
603,0.264575
604,0.252012
605,0.239837
606,0.228065
607,0.216703
608,0.205754
609,0.195221
610,0.185104
611,0.175398
612,0.166091
613,0.157169
614,0.14862
615,0.140431
616,0.132591
617,0.125092
618,0.117928
619,0.111091
620,0.104573
621,0.0983663
622,0.0924685
623,0.0868759
624,0.0815834
625,0.0765841
626,0.0718683
627,0.0674186
628,0.0632176
629,0.0592492
630,0.055499
631,0.051955
632,0.0486103
633,0.0454591
634,0.0424945
635,0.0397097
636,0.0370952
637,0.0346347
638,0.0323125
639,0.0301151
640,0.0280314
641,0.0260564
642,0.0242011
643,0.022476
644,0.020887
645,0.0194366
646,0.01812
647,0.0169149
648,0.0157991
649,0.0147543
650,0.013766
651,0.0128246
652,0.0119304
653,0.011085
654,0.0102892
655,0.00954315
656,0.00884609
657,0.008196
658,0.00759059
659,0.00702754
660,0.00650455
661,0.00601952
662,0.00557093
663,0.00515728
664,0.00477687
665,0.00442794
666,0.00410832
667,0.0038147
668,0.00354392
669,0.00329329
670,0.0030605
671,0.00284369
672,0.00264175
673,0.00245374
674,0.00227875
675,0.00211596
676,0.00196456
677,0.00182378
678,0.00169287
679,0.00157115
680,0.00145798
681,0.00135274
682,0.00125476
683,0.0011634
684,0.00107812
685,0.000998424
686,0.000923962
687,0.000854713
688,0.000790652
689,0.000731684
690,0.000677653
691,0.000628297
692,0.000583108
693,0.000541584
694,0.000503294
695,0.00046787
696,0.000435007
697,0.00040449
698,0.000376138
699,0.000349784
700,0.000325278
701,0.000302477
702,0.000281237
703,0.000261427
704,0.00024293
705,0.000225641
706,0.000209478
707,0.0001944
708,0.00018037
709,0.000167347
710,0.000155286
711,0.000144135
712,0.00013383
713,0.000124309
714,0.000115513
715,0.000107388
716,9.988e-05
717,9.2932e-05
718,8.64907e-05
719,8.0509e-05
720,7.49453e-05
721,6.97652e-05
722,6.4947e-05
723,6.04718e-05
724,5.63207e-05
725,5.24748e-05
726,4.89142e-05
727,4.56137e-05
728,4.2549e-05
729,3.96989e-05
730,3.70443e-05
731,3.45688e-05
732,3.22588e-05
733,3.01026e-05
734,2.80893e-05
735,2.62088e-05
736,2.44529e-05
737,2.28177e-05
738,2.12995e-05
739,1.98941e-05
740,1.85965e-05
741,1.74003e-05
742,1.62931e-05
743,1.52632e-05
744,1.43005e-05
745,1.33965e-05
746,1.25449e-05
747,1.17441e-05
748,1.09929e-05
749,1.029e-05
750,9.63397e-06
751,9.02263e-06
752,8.45301e-06
753,7.92207e-06
754,7.427e-06
755,6.96522e-06
756,6.53422e-06
757,6.13129e-06
758,5.75391e-06
759,5.39984e-06
760,5.06711e-06
761,4.75413e-06
762,4.46019e-06
763,4.18466e-06
764,3.9269e-06
765,3.68617e-06
766,3.46157e-06
767,3.25155e-06
768,3.05464e-06
769,2.86951e-06
770,2.69504e-06
771,2.5304e-06
772,2.3755e-06
773,2.23033e-06
774,2.09478e-06
775,1.96864e-06
776,1.85152e-06
777,1.74248e-06
778,1.6406e-06
779,1.54507e-06
780,1.45518e-06
781,1.37039e-06
782,1.29045e-06
783,1.21518e-06
784,1.14437e-06
785,1.07784e-06
786,1.01538e-06
787,9.56684e-07
788,9.01491e-07
789,8.49542e-07
790,8.00606e-07
791,7.54492e-07
792,7.11091e-07
793,6.70309e-07
794,6.32045e-07
795,5.96195e-07
796,5.62639e-07
797,5.31206e-07
798,5.01726e-07
799,4.74047e-07
800,4.4803e-07
801,4.23543e-07
802,4.00453e-07
803,3.78634e-07
804,3.57978e-07
805,3.38387e-07
806,3.19787e-07
807,3.02157e-07
808,2.85486e-07
809,2.69756e-07
810,2.54942e-07
811,2.41015e-07
812,2.2792e-07
813,2.15603e-07
814,2.04014e-07
815,1.93105e-07
816,1.82829e-07
817,1.73134e-07
818,1.63969e-07
819,1.55289e-07
820,1.47054e-07
821,1.39231e-07
822,1.31804e-07
823,1.24758e-07
824,1.18078e-07
825,1.11751e-07
826,1.0576e-07
827,1.00093e-07
828,9.47349e-08
829,8.96718e-08
830,8.48902e-08
