wavelength,l_bar
390,0.000415003
391,0.00050265
392,0.000607367
393,0.00073185
394,0.000879012
395,0.00105192
396,0.00125373
397,0.00148756
398,0.00175633
399,0.00206261
400,0.00240836
401,0.00279522
402,0.0032264
403,0.00370617
404,0.00423972
405,0.00483339
406,0.00549335
407,0.00621933
408,0.00700631
409,0.00784503
410,0.00872127
411,0.00961879
412,0.0105324
413,0.011462
414,0.0124105
415,0.0133837
416,0.014387
417,0.0154116
418,0.0164424
419,0.0174614
420,0.018448
421,0.0193852
422,0.0202811
423,0.0211545
424,0.0220286
425,0.0229317
426,0.0238896
427,0.0249026
428,0.0259631
429,0.0270619
430,0.0281877
431,0.0293303
432,0.0304898
433,0.0316694
434,0.0328731
435,0.0341054
436,0.035367
437,0.03664
438,0.0378988
439,0.0391148
440,0.0402563
441,0.0412989
442,0.0422582
443,0.0431627
444,0.0440444
445,0.044938
446,0.0458729
447,0.0468459
448,0.0478446
449,0.0488555
450,0.0498639
451,0.0508618
452,0.0518731
453,0.0529317
454,0.0540746
455,0.0553418
456,0.0567734
457,0.0583973
458,0.0602409
459,0.0623353
460,0.0647164
461,0.0674131
462,0.070404
463,0.0736489
464,0.0770978
465,0.0806894
466,0.0843613
467,0.0880904
468,0.091863
469,0.0956637
470,0.0994755
471,0.103286
472,0.107103
473,0.110947
474,0.114838
475,0.118802
476,0.122863
477,0.127026
478,0.131293
479,0.135666
480,0.140145
481,0.144731
482,0.149415
483,0.154189
484,0.159038
485,0.163952
486,0.168932
487,0.174063
488,0.179457
489,0.185241
490,0.191556
491,0.198532
492,0.206182
493,0.214485
494,0.223411
495,0.232926
496,0.242992
497,0.253616
498,0.26481
499,0.276587
500,0.288959
501,0.301934
502,0.315508
503,0.329673
504,0.344416
505,0.359716
506,0.37555
507,0.391895
508,0.408722
509,0.425998
510,0.443683
511,0.461731
512,0.480094
513,0.498717
514,0.517539
515,0.536494
516,0.555493
517,0.574386
518,0.592995
519,0.611124
520,0.628561
521,0.645139
522,0.660907
523,0.675993
524,0.690542
525,0.70472
526,0.718662
527,0.732323
528,0.745606
529,0.75841
530,0.77063
531,0.782208
532,0.79329
533,0.804084
534,0.814813
535,0.825711
536,0.836943
537,0.848349
538,0.859676
539,0.870656
540,0.881011
541,0.890496
542,0.899052
543,0.906669
544,0.913341
545,0.919067
546,0.923898
547,0.928099
548,0.931995
549,0.935916
550,0.940198
551,0.945076
552,0.950367
553,0.955775
554,0.961
555,0.965733
556,0.969744
557,0.973133
558,0.976086
559,0.978793
560,0.981445
561,0.984186
562,0.986965
563,0.989678
564,0.99222
565,0.994486
566,0.996386
567,0.997895
568,0.999004
569,0.999706
570,0.999993
571,0.999837
572,0.999123
573,0.997719
574,0.995491
575,0.99231
576,0.988146
577,0.983345
578,0.978342
579,0.973564
580,0.969429
581,0.966211
582,0.96363
583,0.961273
584,0.958732
585,0.955602
586,0.951569
587,0.946654
588,0.940962
589,0.9346
590,0.927673
591,0.920264
592,0.912391
593,0.90405
594,0.895243
595,0.885969
596,0.876242
597,0.866117
598,0.855658
599,0.844926
600,0.833982
601,0.822859
602,0.811491
603,0.799794
604,0.787689
605,0.775103
606,0.761996
607,0.748425
608,0.73447
609,0.720208
610,0.705713
611,0.691044
612,0.676212
613,0.66122
614,0.646072
615,0.630773
616,0.615349
617,0.599888
618,0.584489
619,0.56924
620,0.554224
621,0.539469
622,0.524827
623,0.510124
624,0.495206
625,0.479941
626,0.46427
627,0.448338
628,0.432329
629,0.416406
630,0.400711
631,0.385355
632,0.370377
633,0.355793
634,0.341618
635,0.327864
636,0.314541
637,0.301662
638,0.289239
639,0.277278
640,0.265784
641,0.25474
642,0.244054
643,0.233634
644,0.223399
645,0.213284
646,0.203257
647,0.19337
648,0.183688
649,0.174263
650,0.165141
651,0.156354
652,0.147916
653,0.139834
654,0.132111
655,0.124749
656,0.117744
657,0.111081
658,0.104747
659,0.0987277
660,0.0930085
661,0.0875769
662,0.0824219
663,0.0775328
664,0.0728989
665,0.06851
666,0.0643554
667,0.0604242
668,0.0567057
669,0.0531896
670,0.0498661
671,0.0467258
672,0.0437598
673,0.0409594
674,0.0383165
675,0.0358233
676,0.0334725
677,0.0312583
678,0.0291751
679,0.0272173
680,0.025379
681,0.0236541
682,0.0220336
683,0.0205092
684,0.0190735
685,0.0177201
686,0.0164451
687,0.015251
688,0.0141404
689,0.0131137
690,0.0121701
691,0.0113063
692,0.0105131
693,0.00978127
694,0.009103
695,0.0084717
696,0.00788227
697,0.00733213
698,0.00681928
699,0.00634173
700,0.00589749
701,0.00548444
702,0.00509978
703,0.00474086
704,0.00440538
705,0.00409129
706,0.00379703
707,0.00352187
708,0.0032652
709,0.00302632
710,0.00280447
711,0.00259882
712,0.00240849
713,0.00223259
714,0.00207024
715,0.00192058
716,0.00178269
717,0.0016554
718,0.00153762
719,0.00142839
720,0.00132687
721,0.00123238
722,0.00114456
723,0.00106308
724,0.000987592
725,0.000917777
726,0.000853264
727,0.000793589
728,0.000738306
729,0.000687018
730,0.000639373
731,0.000595057
732,0.000553797
733,0.00051535
734,0.000479496
735,0.000446035
736,0.000414809
737,0.000385749
738,0.000358792
739,0.000333861
740,0.000310869
741,0.000289699
742,0.000270145
743,0.000252007
744,0.000235117
745,0.000219329
746,0.000204535
747,0.000190692
748,0.000177771
749,0.000165736
750,0.000154549
751,0.000144167
752,0.000134528
753,0.000125574
754,0.000117251
755,0.000109508
756,0.0001023
757,9.55828e-05
758,8.93161e-05
759,8.34631e-05
760,7.79912e-05
761,7.2873e-05
762,6.80921e-05
763,6.36342e-05
764,5.94841e-05
765,5.56264e-05
766,5.2043e-05
767,4.87063e-05
768,4.559e-05
769,4.2671e-05
770,3.99295e-05
771,3.73509e-05
772,3.49326e-05
773,3.2673e-05
774,3.0569e-05
775,2.86163e-05
776,2.68077e-05
777,2.51286e-05
778,2.35645e-05
779,2.21026e-05
780,2.07321e-05
781,1.94444e-05
782,1.82351e-05
783,1.71008e-05
784,1.6038e-05
785,1.50432e-05
786,1.41127e-05
787,1.3242e-05
788,1.24263e-05
789,1.16618e-05
790,1.09446e-05
791,1.02716e-05
792,9.64036e-06
793,9.04897e-06
794,8.49535e-06
795,7.9775e-06
796,7.49341e-06
797,7.04079e-06
798,6.61744e-06
799,6.22133e-06
800,5.85057e-06
801,5.50333e-06
802,5.17756e-06
803,4.87135e-06
804,4.583e-06
805,4.31102e-06
806,4.05422e-06
807,3.81213e-06
808,3.58438e-06
809,3.37053e-06
810,3.17009e-06
811,2.98248e-06
812,2.80691e-06
813,2.64257e-06
814,2.48873e-06
815,2.34468e-06
816,2.20974e-06
817,2.08315e-06
818,1.96419e-06
819,1.85222e-06
820,1.74666e-06
821,1.64705e-06
822,1.55307e-06
823,1.46448e-06
824,1.381e-06
825,1.30241e-06
826,1.22844e-06
827,1.15888e-06
828,1.09348e-06
829,1.03203e-06
830,9.74306e-07
