wavelength,s_bar
390,0.00954729
391,0.0114794
392,0.0137986
393,0.0165746
394,0.0198869
395,0.023825
396,0.0284877
397,0.0339832
398,0.0404274
399,0.0479417
400,0.0566498
401,0.0666757
402,0.0781479
403,0.0911925
404,0.105926
405,0.122451
406,0.140844
407,0.16114
408,0.183325
409,0.207327
410,0.233008
411,0.260183
412,0.288723
413,0.318512
414,0.349431
415,0.381363
416,0.414141
417,0.44735
418,0.480439
419,0.512767
420,0.543618
421,0.572399
422,0.599284
423,0.624786
424,0.649576
425,0.674474
426,0.700186
427,0.72646
428,0.752726
429,0.778333
430,0.802555
431,0.824818
432,0.845422
433,0.864961
434,0.8841
435,0.903573
436,0.923844
437,0.944055
438,0.96292
439,0.979057
440,0.99102
441,0.997765
442,0.999982
443,0.998861
444,0.995628
445,0.991515
446,0.987377
447,0.982619
448,0.976301
449,0.967513
450,0.955393
451,0.939499
452,0.920807
453,0.900592
454,0.88004
455,0.86024
456,0.842031
457,0.825572
458,0.81086
459,0.797902
460,0.786704
461,0.777119
462,0.768365
463,0.759538
464,0.749777
465,0.738268
466,0.724389
467,0.708113
468,0.689572
469,0.668927
470,0.646359
471,0.622112
472,0.596591
473,0.570216
474,0.543373
475,0.516411
476,0.489647
477,0.463406
478,0.437965
479,0.413549
480,0.390333
481,0.368394
482,0.347582
483,0.327724
484,0.308676
485,0.290322
486,0.272626
487,0.255772
488,0.239945
489,0.22528
490,0.211867
491,0.199719
492,0.188674
493,0.178557
494,0.169217
495,0.160526
496,0.152368
497,0.14462
498,0.137173
499,0.129937
500,0.122839
501,0.115834
502,0.108922
503,0.102118
504,0.0954374
505,0.0888965
506,0.0825343
507,0.0764613
508,0.0707769
509,0.0655491
510,0.060821
511,0.0565919
512,0.0527659
513,0.049244
514,0.045947
515,0.0428123
516,0.0398014
517,0.0369227
518,0.0341909
519,0.0316158
520,0.0292033
521,0.0269536
522,0.0248575
523,0.0229047
524,0.0210855
525,0.0193912
526,0.0178145
527,0.0163514
528,0.014998
529,0.0137497
530,0.0126013
531,0.0115466
532,0.0105766
533,0.00968268
534,0.00885746
535,0.00809453
536,0.0073889
537,0.00673799
538,0.00613947
539,0.00559073
540,0.005089
541,0.0046312
542,0.00421366
543,0.00383286
544,0.00348559
545,0.00316893
546,0.00288021
547,0.00261698
548,0.00237701
549,0.00215829
550,0.00195896
551,0.00177737
552,0.00161218
553,0.00146215
554,0.00132606
555,0.00120277
556,0.00109118
557,0.000990135
558,0.000898564
559,0.000815524
560,0.000740174
561,0.000671772
562,0.000609693
563,0.000553372
564,0.000502292
565,0.000455979
566,0.000413997
567,0.00037594
568,0.000341439
569,0.00031016
570,0.0002818
571,0.000256084
572,0.000232764
573,0.000211616
574,0.000192436
575,0.000175039
576,0.000159257
577,0.00014494
578,0.000131948
579,0.000120157
580,0.000109454
581,9.97367e-05
582,9.09125e-05
583,8.28976e-05
584,7.5616e-05
585,6.89991e-05
