wavelength,D63
300,0.0181185
310,-8.2264
320,-13.5134
330,-30.1891
340,-23.4014
350,-14.8788
360,-4.72794
370,-7.05717
380,7.32354
390,21.9256
400,52.4339
410,56.4701
420,61.1262
430,61.7917
440,85.8414
450,99.8122
460,102.857
470,102.869
480,106.808
490,99.8819
500,102.353
510,102.405
520,102.673
530,106.778
540,103.031
550,103.717
560,100
570,96.8202
580,96.6035
590,83.161
600,81.9607
610,79.1061
620,75.9468
630,70.6709
640,65.8602
650,59.6504
660,55.7257
670,54.632
680,48.7338
690,46.4212
700,44.1965
710,50.9755
720,42.3365
730,49.0396
740,53.1355
750,45.1943
760,32.0458
770,46.4323
780,44.748
790,45.0365
800,41.8427
810,36.7974
820,40.7006
830,42.387
